name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor
LG 43UQ8050PSB 43 inch Ultra HD 4K LED Smart TV,"₹43,240",68,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung The Wall Luxury 292-inch Ultra HD 8K Smart MicroLED TV,"₹88,00,000",79,"292 in, MicroLED TV","8K Resolution, 7680 x 4320 pixels",Wifi,Smart TV,"Ultra Slim, 178 ° Viewing Angle",3D TV: No
OnePlus Y1S Pro 55 inch Ultra HD 4K Smart LED TV,"₹39,999",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","MT9612 Processor, 2 GB RAM, 8 GB Storage"
Infinix 43Y1 43 inch Full HD Smart LED TV,"₹15,999",54,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 1 GB RAM, 4 GB Storage"
Sony Bravia KD-55X75K 55 inch Ultra HD 4K Smart LED TV,"₹63,640",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",16 GB Storage
Samsung Crystal 55AU7700  55-inch Ultra HD 4K Smart LED TV,"₹55,750",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung S95B 55 inch Ultra HD 4K Smart OLED TV (QN55S95BAFXZA),"₹1,31,990",82,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output",178 ° Viewing Angle
Xiaomi Mi TV 5 65-inch Ultra HD 4K Smart QLED TV,"₹40,990",69,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,4 Speakers,"Amlogic T972  Processor, 3 GB RAM, 32 GB Storage"
LG 43UQ8040PSB 43 Inch Ultra HD 4K Smart LED TV,"₹38,999",67,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung UA43BU8000KLXL 43 inch Ultra HD 4K Smart LED TV,"₹45,490",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Hisense 43A6GE 43-inch Ultra HD 4K Smart LED TV,"₹20,990",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex-A53 Processor, 2 GB RAM, 16 GB Storage"
iFFALCON U62 43 inch Ultra HD 4K Smart LED TV (iFF43U62),"₹23,999",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage"
Sony Bravia 32W830K 32 inch HD Ready Smart LED TV,"₹26,990",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Vu GloLED 55 inch Ultra HD 4K Smart LED TV (55GloLED),"₹36,999",76,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"5 Speakers, 104 w Output","Glo AI Processor Processor, 2 GB RAM, 16 GB Storage"
Sony Bravia X80K 75 inch Ultra HD 4K Smart LED TV (KD-75X80K),"₹1,58,490",75,"75 in, LED TV","4K Resolution, 3480 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung UA55BU8000KLXL 55 inch Ultra HD 4K Smart LED TV,"₹59,000",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
LG UQ75 43 inch Ultra HD 4K Smart LED TV (43UQ7550PSF),"₹34,990",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung Crystal 7 Series 55AU7600 55 inch Ultra HD 4K Smart LED TV,"₹49,290",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor
Sony Bravia X80K 65 inch Ultra HD 4K Smart LED TV (KD-65X80K),"₹91,990",77,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung UA43AUE65AKXXL 2022 43 Inch Ultra HD 4K Smart LED TV,"₹31,499",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Crystal Processor 4K Processor, 1.5 GB RAM, 16 GB Storage"
Xiaomi Redmi X43 43 inch Ultra HD 4K Smart LED TV,"₹26,999",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Cortex-A55 Processor, 2 GB RAM, 16 GB Storage"
Samsung Crystal 43AU7700 43-inch Ultra HD 4K Smart LED TV,"₹36,880",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Realme TV 32-inch HD Ready Smart LED TV,"₹13,999",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"4 Speakers, 24 w Output","MediaTek 6883 Processor, 1 GB RAM, 8 GB Storage"
Xiaomi Mi TV 5X 43-inch Ultra HD 4K Smart LED TV,"₹31,999",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core Cortex A55 Processor, 2 GB RAM, 16 GB Storage"
LG C2 55 inch Ultra HD 4K OLED Smart TV (OLED55C2PSC),"₹1,13,990",81,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output",178 ° Viewing Angle
Acer AR43AR2851UDFL I Series 43-inch Ultra HD 4K Smart LED TV,"₹23,999",73,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","64bit Quad Core Processor Processor, 2 GB RAM, 16 GB Storage"
Xiaomi Smart TV 5A 40 inch Full HD Smart LED TV,"₹21,999",54,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex A35 64-bit Quad Core Processor, 1.5 GB RAM, 8 GB Storage"
Thomson 9R Pro 43PATH4545BL 43-inch Ultra HD 4K Smart LED TV,"₹19,499",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 40 w Output","ARM Cortex A53 - 1.4 GHz Processor, 2 GB RAM, 8 GB Storage"
Samsung 32T4410 32-inch HD Ready LED Smart TV,"₹17,990",46,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
LG 32LM565BPTA 32-inch HD Ready Smart LED TV,"₹13,990",45,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output","Quad Core Processor, 1 GB RAM, 4 GB Storage"
TCL P635 55 inch Ultra HD 4K Smart LED TV (55P635),"₹37,840",72,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 16 GB Storage"
LG UQ80 55 inch Ultra HD 4K Smart LED TV (55UQ8040PSB),"₹51,990",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Sony Bravia KD-43W880K 43 inch Full HD Smart LED TV,"₹40,490",59,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",16 GB Storage
OnePlus Y1S 32 inch HD Ready Smart LED TV,"₹15,999",52,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1 GB RAM, 8 GB Storage"
Croma CRELE3101sBT24 24 Inch HD Ready LED TV,"₹4,444",32,"23.98 in, LED TV",1366 x 786 pixels,Smart TV: No,"2 Speakers, 16 w Output",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
LG 43UM7790PTA 43-inch Ultra HD 4K Smart LED TV,"₹41,000",67,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 35 w Output",178 ° Viewing Angle
Samsung UA32T4340AKXXL 32-inch HD Ready Smart LED TV,"₹13,490",44,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
SENS Dwinci 65 inch Ultra HD 4K Smart QLED TV (SENS65WGSQLED),"₹42,999",72,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"Quad Core Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle
Samsung S95B 65 inch Ultra HD 4K Smart OLED TV (QN65S95BAFXZA),"₹1,64,490",84,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output",Neural Quantum Processor 4K Processor
Panasonic TH-32LS680DX 32 Inch Full HD Smart LED TV,"₹18,050",55,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1.5 GB RAM, 8 GB Storage"
LG 32LQ6360PSA 32 inch Full HD Smart LED TV,"₹22,990",51,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Quad Core Processor
Sony Bravia X80K 43 inch Ultra HD 4K Smart LED TV (KD-43X80K),"₹64,590",69,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","4K HDR Processor X1 Processor, 16 GB Storage"
Sony Bravia KD-50X75K 50 inch 4K Ultra HD Smart LED TV,"₹57,940",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",16 GB Storage
Samsung UA55BU8570ULXL 55 inch 4K Ultra HD Smart LED TV,"₹61,950",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet","2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
TCL P635 65 inch Ultra HD 4K Smart LED TV (65P635),"₹49,990",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 16 GB Storage"
Samsung UA32T4390AKXXL 32 Inch HD Ready Smart LED TV,"₹17,899",38,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output","2 HDMI Ports, 1 USB Ports"
Vu GloLED 50 inch Ultra HD 4K Smart LED TV (50GloLED),"₹31,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"5 Speakers, 104 w Output","A.I. GLO  Processor, 2 GB RAM, 16 GB Storage"
Acer AR55AR2851UDFL I Series 55-inch Ultra HD 4K Smart LED TV,"₹32,999",75,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","64bit Quad Core Processor Processor, 2 GB RAM, 16 GB Storage"
Panasonic TH-43LS680DX 43 Inch Full HD Smart LED TV,"₹32,490",52,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
OnePlus Y1S Pro 50 inch Ultra HD 4K Smart LED TV,"₹32,999",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 8 GB Storage"
Thomson Alpha 32ALPHA007BL 32 inch HD Ready Smart LED TV,"₹7,999",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core Processor-A35 x 4 Processor, 512 MB RAM, 4 GB Storage"
Haier LE50K7700HQGA 50 Inch Ultra HD 4K Smart LED TV,"₹37,750",69,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,20 w Output,178 ° Viewing Angle
BPL 55U-A4310 55-inch Ultra HD 4K Smart LED TV,"₹36,490",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 8 w Output",178 ° Viewing Angle
LG 55NANO83TPZ 55-inch Ultra HD 4K LED Smart TV,"₹69,999",75,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Vu 43UT 43-inch Ultra HD 4K Smart LED TV,"₹20,999",66,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 2 GB RAM"
Lloyd 43UX900D 43 inch Ultra HD 4K Smart QLED TV,"₹33,990",72,"43 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","64-bit Cortex-A55  Processor, 2 GB RAM, 16 GB Storage"
TCL P635 43 inch Ultra HD 4K Smart LED TV (43P635),"₹27,990",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","AIPQ 2.0 Processor, 2 GB RAM, 16 GB Storage"
LG UQ75 55UQ7550PSF 55 inch Ultra HD 4K LED Smart TV,"₹50,180",64,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
TCL 32S5205 32 Inch HD Ready Smart LED TV,"₹10,990",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 16 w Output",178 ° Viewing Angle
Panasonic TH-43LX710DX 43-Inch Ultra HD 4K Smart LED TV,"₹38,990",71,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","2 GB RAM, 16 GB Storage"
Haier LE55K7700HQGA 55 Inch Ultra HD 4K Smart LED TV,"₹43,000",71,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,20 w Output,178 ° Viewing Angle
Samsung AUE60 43-inch Ultra HD 4K Smart LED TV (UA43AUE60AKLXL),"₹29,999",65,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor
Sansui JSW50ASUHD 50 inch Ultra HD 4K Smart LED TV,"₹26,999",71,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 8 GB Storage"
Thomson 9A Series 32PATH0011BL 32-inch HD Ready Smart LED TV,"₹8,999",51,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","ARM Cortex A53 Processor, 1 GB RAM, 8 GB Storage"
Samsung 32T4310 32-inch HD Ready Smart LED TV,"₹15,990",38,32 in,1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
TCL 32S5400 32 inch Full HD Smart LED TV,"₹15,990",54,"32 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output",1.5 GB RAM
Sansui JSW65GSQLED 65 inch Ultra HD 4K Smart QLED TV,"₹54,999",76,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 16 GB Storage"
LG QNED81 55 inch Ultra HD 4K Smart QNED TV (55QNED81SQA),"₹82,490",51,"55 in, QNED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 10 w Output",α7 Gen5 AI Processor 4K Processor
Hisense 50A7H 50 inch Ultra HD 4K Smart LED TV,"₹31,990",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"6 Speakers, 102 w Output","2 GB RAM, 16 GB Storage"
Xiaomi X Series 50 inch 4K Ultra HD Smart LED TV,"₹33,499",72,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core A55 CPU
 Processor, 2 GB RAM, 8 GB Storage"
Sony Bravia X80K 50 inch Ultra HD 4K Smart LED TV (KD-50X80K),"₹66,015",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","4K HDR Processor X1 Processor, 16 GB Storage"
Sony KD-55X74K 55 inch Ultra HD 4K Smart LED TV,"₹57,990",67,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",4K Processor X1 Processor
Haier LE32K7200GA 32 Inch HD Ready Smart LED TV,"₹14,490",48,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Xiaomi Smart TV 5A 43 inch Full HD Smart LED TV,"₹24,999",54,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex A35 64-bit Quad Core Processor, 1.5 GB RAM, 8 GB Storage"
Samsung UA50BU8000KLXL 50 inch Ultra HD 4K Smart LED TV,"₹51,500",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung 32T4600 32-inch HD Ready Smart LED TV,"₹20,990",46,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Samsung 32T4900 32-inch HD Ready Smart LED TV,"₹21,990",48,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"4 Speakers, 40 w Output",178 ° Viewing Angle
Samsung 32T4450 32-inch HD Ready Smart LED TV,"₹19,490",46,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
TCL 55C725 55-inch Ultra HD 4K Smart QLED TV,"₹40,990",76,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Processor, 2 GB RAM, 16 GB Storage"
Sansui JSW32ASHD 32 inch HD Ready Smart LED TV,"₹11,990",52,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 1 GB RAM, 8 GB Storage"
Xiaomi Mi TV 5 55-inch Ultra HD 4K Smart QLED TV,"₹30,990",68,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,4 Speakers,"Amlogic T972  Processor, 3 GB RAM, 32 GB Storage"
Lloyd 55QX900D 55 inch Ultra HD 4K Smart QLED TV,"₹52,990",82,"55 in, QLED TV",3840 x 21600 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","64-bit Cortex-A55
 Processor, 2 GB RAM, 16 GB Storage"
Sony Bravia A80K 55 inch Ultra HD 4K Smart OLED TV (XR-55A80K),"₹1,59,990",80,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"Actuator x 3, Subwoofer x 2 Speakers, 30 w Output",16 GB Storage
Xiaomi X Series 43 inch 4K Ultra HD Smart LED TV,"₹27,999",70,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 30 w Output","Quad Core A55 CPU
 Processor, 2 GB RAM, 8 GB Storage"
Xiaomi Smart TV 5A Pro 32 inch HD Ready Smart LED TV,"₹16,999",53,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Cortex A55 64-bit Quad Core Processor, 1.5 GB RAM, 8 GB Storage"
LG UQ80 65UQ8050PSB 65 inch Ultra HD 4K LED Smart TV,"₹84,990",74,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","1.5 GB RAM, 8 GB Storage"
LG UQ80 75 inch Ultra HD 4K LED Smart TV (75UQ8050PSB),"₹1,89,990",79,"75 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Infinix 32Y1 32 inch HD Ready Smart LED TV,"₹8,999",47,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor Processor, 4 GB Storage"
LG 43UQ7500PSF 43-inch Ultra HD 4K Smart LED TV,"₹30,990",63,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output","Gen5 AI Processor 4K Processor, 1.5 GB RAM, 8 GB Storage"
Sony Bravia KD-65X75K 65 Inch Ultra HD 4K Smart LED Google TV,"₹85,490",72,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","‎X1 4K Processor
 Processor"
LG 32LQ636BPSA 32 Inch HD Ready Smart LED TV,"₹19,490",49,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
Realme Smart TV X 40 inch Full HD Smart LED TV,"₹19,999",57,"40 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 24 w Output","MediaTek Quad Core 6883 Processor, 1 GB RAM, 8 GB Storage"
BPL 32H-A4301 32 inch HD Ready Smart LED TV,"₹11,585",43,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 6 w Output",178 ° Viewing Angle
Realme TV 50-inch Ultra HD 4K Smart LED TV,"₹28,999",73,"50 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"4 Speakers, 24 w Output","A53  Processor, 2 GB RAM, 16 GB Storage"
Samsung S95C 77 inch Ultra HD 4K Smart OLED TV,"₹3,59,999",85,"77 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,8 Speakers,Ultra Slim
Xiaomi Redmi X86 86 inch Ultra HD 4K Smart LED TV,"₹54,990",76,"86 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","A55 processor Processor, 2 GB RAM, 16 GB Storage"
Samsung T5450 43 inch Full HD Smart LED TV (UA43T5450AKXXL),"₹29,200",48,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle
LG G2 OLED65G2PSA 65 inch Ultra HD 4K OLED Smart TV,"₹2,54,990",84,"65 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output","4 HDMI Ports, 3 USB Ports"
Acer AR55AR2851UDPRO 55 inch Ultra HD 4K Smart LED TV,"₹35,999",76,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output","2 GB RAM, 16 GB Storage"
Vu GloLED 65 inch Ultra HD 4K Smart LED TV (65GloLED),"₹50,999",78,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"5 Speakers, 104 w Output","Glo AI Processor Processor, 2 GB RAM, 16 GB Storage"
