Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price
GE,Model109,505.0,A++,Double Door,Water Dispenser,Silver,Glass,4.0,India,1327.0
Haier,Model111,407.0,A+,Side-by-Side,Water Dispenser,Black,Stainless Steel,1.0,USA,1842.0
Frigidaire,Model114,117.0,B,Double Door,Water Dispenser,Black,Glass,6.0,India,941.0
Samsung,Model115,292.0,B,Double Door,Ice Dispenser,Silver,Glass,1.0,China,1519.0
Bosch,Model116,716.0,B,Single Door,Ice Dispenser,Silver,Stainless Steel,2.0,Germany,353.0
LG,Model120,229.0,B,Single Door,Ice Dispenser,Gray,Glass,3.0,USA,1637.0
Haier,Model122,409.0,A+,Single Door,Smart Connectivity,Gray,Plastic,1.0,USA,629.0
GE,Model125,790.0,A++,Side-by-Side,Water Dispenser,Gray,Plastic,3.0,India,798.0
LG,Model126,166.0,A+,Side-by-Side,Standard,Gray,Plastic,9.0,India,1322.0
Bosch,Model128,783.0,A,Double Door,Smart Connectivity,White,Plastic,1.0,China,1739.0
Siemens,Model129,386.0,A+,Side-by-Side,Standard,Black,Stainless Steel,7.0,China,465.0
Whirlpool,Model130,667.0,B,Single Door,Smart Connectivity,White,Stainless Steel,5.0,USA,1511.0
Siemens,Model133,608.0,A++,Double Door,Standard,Silver,Glass,3.0,Germany,523.0
Haier,Model134,755.0,A,Double Door,Water Dispenser,White,Stainless Steel,7.0,Germany,774.0
Electrolux,Model136,168.0,A+,Side-by-Side,Water Dispenser,Silver,Plastic,9.0,China,1414.0
Haier,Model137,502.0,A,Side-by-Side,Standard,Black,Glass,4.0,Germany,384.0
Frigidaire,Model138,672.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,8.0,USA,444.0
LG,Model139,702.0,A,Double Door,Ice Dispenser,Black,Glass,3.0,USA,1150.0
Siemens,Model140,337.0,A++,Double Door,Smart Connectivity,Black,Glass,6.0,Germany,1393.0
Haier,Model141,648.0,B,Double Door,Standard,Black,Plastic,3.0,Germany,714.0
Panasonic,Model142,140.0,A,Side-by-Side,Water Dispenser,Silver,Stainless Steel,9.0,Germany,1596.0
Samsung,Model144,342.0,B,Double Door,Water Dispenser,Gray,Glass,2.0,USA,1015.0
LG,Model145,338.0,A,Side-by-Side,Standard,Silver,Plastic,3.0,India,1930.0
Siemens,Model148,596.0,A,Double Door,Water Dispenser,Black,Plastic,7.0,China,1929.0
Siemens,Model149,120.0,B,Single Door,Ice Dispenser,Gray,Plastic,5.0,Germany,1120.0
GE,Model150,377.0,A++,Single Door,Smart Connectivity,White,Plastic,7.0,India,954.0
Samsung,Model152,593.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,3.0,Germany,394.0
LG,Model156,359.0,B,Double Door,Smart Connectivity,White,Glass,8.0,China,862.0
Bosch,Model158,402.0,A,Double Door,Water Dispenser,White,Glass,3.0,China,1192.0
Siemens,Model159,639.0,A+,Side-by-Side,Ice Dispenser,Gray,Glass,5.0,Germany,946.0
GE,Model162,474.0,B,Double Door,Ice Dispenser,Silver,Plastic,8.0,China,1249.0
Frigidaire,Model165,178.0,A+,Double Door,Ice Dispenser,Gray,Glass,7.0,China,946.0
Bosch,Model166,218.0,A++,Double Door,Water Dispenser,Black,Stainless Steel,5.0,India,1514.0
Siemens,Model168,480.0,A,Side-by-Side,Smart Connectivity,Silver,Stainless Steel,2.0,China,968.0
Panasonic,Model169,496.0,B,Double Door,Water Dispenser,Gray,Plastic,6.0,China,1488.0
Siemens,Model170,727.0,B,Double Door,Standard,White,Stainless Steel,2.0,USA,1861.0
Haier,Model174,391.0,A+,Single Door,Water Dispenser,White,Stainless Steel,2.0,Germany,879.0
Frigidaire,Model175,407.0,B,Double Door,Standard,Black,Stainless Steel,8.0,USA,646.0
Samsung,Model176,560.0,B,Single Door,Smart Connectivity,Gray,Glass,9.0,Germany,314.0
GE,Model177,613.0,A++,Single Door,Smart Connectivity,Silver,Glass,6.0,Germany,538.0
Whirlpool,Model178,679.0,A+,Single Door,Smart Connectivity,Black,Glass,8.0,China,850.0
Frigidaire,Model180,744.0,B,Double Door,Water Dispenser,Black,Glass,4.0,USA,332.0
Frigidaire,Model181,363.0,A,Double Door,Ice Dispenser,White,Stainless Steel,2.0,China,1300.0
Electrolux,Model182,618.0,A,Double Door,Ice Dispenser,White,Plastic,1.0,Germany,603.0
Bosch,Model183,668.0,A,Double Door,Ice Dispenser,Black,Stainless Steel,6.0,Germany,1035.0
Siemens,Model184,356.0,B,Double Door,Ice Dispenser,White,Glass,7.0,Germany,426.0
Bosch,Model185,506.0,A++,Single Door,Ice Dispenser,Gray,Plastic,5.0,Germany,1829.0
GE,Model188,753.0,B,Single Door,Standard,Black,Glass,8.0,India,1519.0
Samsung,Model189,686.0,A,Double Door,Smart Connectivity,White,Stainless Steel,6.0,USA,477.0
Samsung,Model190,120.0,A++,Side-by-Side,Ice Dispenser,Black,Glass,2.0,India,622.0
Frigidaire,Model191,490.0,A,Side-by-Side,Water Dispenser,Silver,Plastic,3.0,China,996.0
Samsung,Model194,533.0,A++,Side-by-Side,Standard,Black,Stainless Steel,4.0,China,1379.0
Samsung,Model196,762.0,A+,Side-by-Side,Smart Connectivity,Black,Plastic,9.0,India,845.0
GE,Model197,780.0,A+,Double Door,Ice Dispenser,White,Plastic,1.0,USA,1290.0
Haier,Model198,749.0,B,Single Door,Smart Connectivity,Gray,Glass,8.0,China,944.0
Siemens,Model201,200.0,A++,Side-by-Side,Smart Connectivity,Black,Stainless Steel,4.0,China,1668.0
Haier,Model202,775.0,B,Double Door,Water Dispenser,Black,Plastic,5.0,China,1706.0
Bosch,Model203,270.0,A+,Single Door,Water Dispenser,White,Plastic,8.0,India,1200.0
Bosch,Model205,239.0,A,Single Door,Ice Dispenser,Black,Stainless Steel,3.0,USA,1334.0
Siemens,Model206,141.0,A,Side-by-Side,Smart Connectivity,White,Stainless Steel,3.0,USA,243.0
Samsung,Model207,622.0,A++,Single Door,Ice Dispenser,Silver,Glass,2.0,Germany,939.0
Bosch,Model209,160.0,A++,Side-by-Side,Smart Connectivity,Black,Glass,4.0,USA,280.0
Frigidaire,Model210,613.0,A++,Side-by-Side,Standard,Gray,Stainless Steel,3.0,China,1049.0
Samsung,Model211,507.0,A+,Side-by-Side,Standard,White,Glass,5.0,India,447.0
LG,Model212,481.0,A+,Single Door,Ice Dispenser,White,Plastic,5.0,India,1628.0
Samsung,Model213,209.0,B,Side-by-Side,Smart Connectivity,Black,Plastic,8.0,India,1541.0
Samsung,Model214,428.0,A++,Double Door,Smart Connectivity,White,Stainless Steel,8.0,China,1019.0
Frigidaire,Model215,401.0,B,Single Door,Smart Connectivity,Silver,Stainless Steel,4.0,China,1120.0
GE,Model218,546.0,A+,Single Door,Smart Connectivity,Silver,Stainless Steel,8.0,India,1585.0
GE,Model219,607.0,A,Double Door,Ice Dispenser,Gray,Plastic,8.0,India,368.0
Samsung,Model224,291.0,A++,Side-by-Side,Ice Dispenser,Black,Plastic,9.0,India,677.0
Siemens,Model228,297.0,A,Side-by-Side,Standard,Silver,Stainless Steel,8.0,Germany,649.0
Siemens,Model229,632.0,A,Single Door,Standard,Black,Stainless Steel,4.0,India,640.0
Panasonic,Model230,387.0,A++,Side-by-Side,Ice Dispenser,Gray,Plastic,4.0,Germany,1185.0
Electrolux,Model231,609.0,A++,Side-by-Side,Standard,Black,Stainless Steel,7.0,India,342.0
Frigidaire,Model233,721.0,A+,Single Door,Standard,Black,Plastic,7.0,India,485.0
Whirlpool,Model234,248.0,B,Single Door,Standard,Black,Glass,7.0,China,670.0
Frigidaire,Model235,338.0,A+,Double Door,Water Dispenser,Silver,Glass,9.0,China,1787.0
Panasonic,Model236,230.0,A+,Side-by-Side,Water Dispenser,White,Glass,9.0,Germany,1798.0
Samsung,Model237,516.0,A++,Double Door,Standard,White,Glass,3.0,USA,1901.0
Bosch,Model239,451.0,B,Side-by-Side,Water Dispenser,Gray,Plastic,7.0,Germany,1636.0
Whirlpool,Model240,264.0,A,Side-by-Side,Standard,Black,Glass,4.0,China,1310.0
Whirlpool,Model241,309.0,B,Double Door,Ice Dispenser,Silver,Plastic,6.0,India,922.0
Siemens,Model242,275.0,A,Single Door,Water Dispenser,Black,Plastic,1.0,China,1942.0
Samsung,Model244,363.0,B,Side-by-Side,Water Dispenser,White,Glass,9.0,China,677.0
Siemens,Model245,632.0,B,Side-by-Side,Standard,Black,Stainless Steel,6.0,USA,1335.0
Siemens,Model247,314.0,B,Side-by-Side,Smart Connectivity,Silver,Plastic,2.0,USA,832.0
Samsung,Model249,548.0,A+,Side-by-Side,Ice Dispenser,Silver,Stainless Steel,9.0,China,222.0
Samsung,Model251,121.0,A,Side-by-Side,Water Dispenser,White,Glass,4.0,China,1335.0
Haier,Model252,348.0,A,Side-by-Side,Ice Dispenser,White,Plastic,5.0,USA,1849.0
Panasonic,Model253,746.0,A,Side-by-Side,Standard,Black,Plastic,6.0,USA,557.0
Siemens,Model256,200.0,B,Double Door,Water Dispenser,White,Glass,5.0,China,1644.0
Haier,Model257,532.0,A++,Double Door,Smart Connectivity,White,Plastic,6.0,USA,1045.0
Electrolux,Model259,606.0,A,Side-by-Side,Standard,White,Stainless Steel,6.0,Germany,541.0
Samsung,Model261,595.0,A+,Double Door,Standard,Silver,Glass,1.0,India,1209.0
Electrolux,Model263,439.0,A,Side-by-Side,Smart Connectivity,Gray,Plastic,3.0,India,226.0
Panasonic,Model264,411.0,A,Double Door,Water Dispenser,Black,Stainless Steel,2.0,India,1141.0
Electrolux,Model265,220.0,A++,Double Door,Water Dispenser,Silver,Plastic,3.0,USA,475.0
Samsung,Model267,767.0,A+,Side-by-Side,Ice Dispenser,Black,Plastic,9.0,USA,1808.0
Samsung,Model269,281.0,B,Side-by-Side,Standard,Silver,Glass,6.0,Germany,1247.0
Haier,Model270,779.0,A++,Single Door,Water Dispenser,White,Stainless Steel,2.0,Germany,961.0
Br@ndX,Model271,377.0,A++,Double Door,Smart Connectivity,Silver,Glass,4.0,India,1737.0
GE,Model272,765.0,A++,Side-by-Side,Standard,Black,Plastic,8.0,USA,1609.0
Electrolux,Model274,417.0,A,Single Door,Standard,Silver,Stainless Steel,7.0,China,1279.0
Siemens,Model275,198.0,A++,Side-by-Side,Standard,Silver,Plastic,1.0,China,616.0
Haier,Model278,444.0,A,Double Door,Standard,White,Glass,2.0,USA,1617.0
Haier,Model279,546.0,A++,Single Door,Standard,Black,Plastic,8.0,Germany,413.0
Frigidaire,Model282,338.0,A+,Double Door,Standard,Silver,Glass,1.0,India,1803.0
GE,Model283,757.0,A,Double Door,Ice Dispenser,Black,Plastic,7.0,India,1879.0
Whirlpool,Model284,717.0,A+,Double Door,Ice Dispenser,Black,Glass,1.0,India,1211.0
Whirlpool,Model285,353.0,A++,Double Door,Standard,Black,Glass,2.0,Germany,773.0
Whirlpool,Model290,742.0,A++,Single Door,Smart Connectivity,White,Plastic,7.0,India,1168.0
LG,Model291,466.0,A,Side-by-Side,Standard,Silver,Plastic,1.0,China,1012.0
Panasonic,Model295,457.0,A,Single Door,Smart Connectivity,Gray,Plastic,6.0,India,1891.0
GE,Model296,373.0,B,Double Door,Standard,Black,Stainless Steel,3.0,Germany,908.0
Frigidaire,Model297,297.0,A,Single Door,Ice Dispenser,Gray,Plastic,7.0,China,674.0
Panasonic,Model299,727.0,A,Double Door,Water Dispenser,White,Plastic,7.0,USA,1713.0
Whirlpool,Model301,652.0,B,Single Door,Ice Dispenser,White,Stainless Steel,2.0,USA,922.0
Samsung,Model302,279.0,A,Double Door,Standard,Gray,Glass,5.0,Germany,762.0
Samsung,Model305,728.0,B,Double Door,Water Dispenser,Gray,Stainless Steel,8.0,USA,369.0
Whirlpool,Model307,222.0,B,Double Door,Standard,White,Stainless Steel,7.0,India,339.0
Panasonic,Model308,317.0,A+,Side-by-Side,Standard,Gray,Glass,4.0,Germany,424.0
Siemens,Model316,745.0,A+,Single Door,Water Dispenser,White,Glass,2.0,Germany,1741.0
Siemens,Model317,674.0,A+,Single Door,Water Dispenser,Gray,Glass,4.0,India,1251.0
Bosch,Model320,238.0,A,Single Door,Ice Dispenser,Silver,Stainless Steel,5.0,Germany,1513.0
Samsung,Model321,406.0,B,Side-by-Side,Standard,Silver,Plastic,6.0,India,1494.0
GE,Model323,223.0,A+,Single Door,Water Dispenser,White,Glass,3.0,USA,781.0
Bosch,Model324,623.0,A,Single Door,Ice Dispenser,Gray,Plastic,7.0,USA,259.0
Electrolux,Model325,631.0,A+,Single Door,Ice Dispenser,Silver,Glass,9.0,China,1780.0
Siemens,Model326,759.0,A++,Side-by-Side,Smart Connectivity,White,Plastic,5.0,USA,1684.0
Panasonic,Model327,435.0,A++,Side-by-Side,Smart Connectivity,Silver,Plastic,2.0,Germany,1489.0
Bosch,Model328,266.0,B,Single Door,Water Dispenser,Gray,Stainless Steel,1.0,Germany,1719.0
Panasonic,Model329,201.0,A++,Double Door,Smart Connectivity,Silver,Plastic,4.0,China,1465.0
Samsung,Model330,139.0,B,Side-by-Side,Smart Connectivity,White,Plastic,3.0,India,305.0
Frigidaire,Model331,107.0,B,Side-by-Side,Water Dispenser,White,Plastic,7.0,USA,221.0
Samsung,Model332,746.0,A,Side-by-Side,Smart Connectivity,Gray,Glass,6.0,USA,1693.0
GE,Model334,290.0,A++,Side-by-Side,Water Dispenser,Gray,Glass,6.0,China,777.0
Bosch,Model335,451.0,B,Side-by-Side,Standard,Silver,Glass,1.0,India,1171.0
Haier,Model336,719.0,B,Single Door,Ice Dispenser,White,Glass,6.0,China,1804.0
Panasonic,Model337,633.0,A++,Single Door,Smart Connectivity,White,Plastic,2.0,China,1046.0
Whirlpool,Model339,763.0,A++,Double Door,Ice Dispenser,Black,Plastic,7.0,Germany,1972.0
Panasonic,Model340,668.0,A,Single Door,Water Dispenser,White,Stainless Steel,8.0,India,339.0
Siemens,Model341,511.0,A,Single Door,Standard,Gray,Stainless Steel,6.0,USA,1095.0
Siemens,Model343,322.0,A,Side-by-Side,Water Dispenser,Gray,Plastic,1.0,China,1494.0
Siemens,Model344,722.0,A++,Single Door,Ice Dispenser,Silver,Glass,9.0,Germany,1797.0
GE,Model345,276.0,A++,Side-by-Side,Smart Connectivity,Gray,Stainless Steel,3.0,India,1859.0
Frigidaire,Model346,429.0,A+,Single Door,Water Dispenser,Gray,Stainless Steel,1.0,Germany,1631.0
Whirlpool,Model347,686.0,A,Single Door,Standard,Silver,Plastic,9.0,China,1550.0
Electrolux,Model349,308.0,B,Side-by-Side,Standard,White,Stainless Steel,3.0,India,738.0
Samsung,Model352,362.0,B,Single Door,Standard,Black,Plastic,7.0,Germany,229.0
Panasonic,Model353,320.0,A++,Double Door,Standard,Gray,Stainless Steel,7.0,China,616.0
Siemens,Model354,235.0,A+,Double Door,Ice Dispenser,Silver,Glass,1.0,India,384.0
GE,Model355,724.0,A++,Double Door,Water Dispenser,Silver,Plastic,4.0,Germany,1550.0
Panasonic,Model356,503.0,A+,Double Door,Water Dispenser,Gray,Stainless Steel,2.0,Germany,1163.0
GE,Model357,514.0,A+,Single Door,Ice Dispenser,Silver,Plastic,2.0,India,582.0
Panasonic,Model358,764.0,A++,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,6.0,Germany,476.0
Bosch,Model359,302.0,A+,Side-by-Side,Smart Connectivity,Silver,Glass,2.0,China,1626.0
Samsung,Model360,576.0,B,Single Door,Water Dispenser,Gray,Glass,1.0,USA,1474.0
Electrolux,Model361,587.0,A++,Side-by-Side,Water Dispenser,Black,Glass,9.0,Germany,781.0
LG,Model362,220.0,A,Double Door,Smart Connectivity,Silver,Glass,3.0,India,791.0
Electrolux,Model363,338.0,A+,Side-by-Side,Water Dispenser,White,Glass,1.0,India,257.0
Siemens,Model365,455.0,A,Side-by-Side,Standard,Black,Stainless Steel,5.0,China,1000.0
LG,Model366,752.0,B,Single Door,Standard,Silver,Stainless Steel,5.0,India,1604.0
Bosch,Model367,318.0,B,Side-by-Side,Smart Connectivity,White,Stainless Steel,6.0,USA,1082.0
Samsung,Model368,691.0,B,Side-by-Side,Water Dispenser,White,Plastic,1.0,USA,1477.0
Whirlpool,Model370,539.0,A+,Single Door,Water Dispenser,Gray,Stainless Steel,7.0,USA,1355.0
Panasonic,Model373,514.0,A,Double Door,Standard,Silver,Glass,1.0,China,367.0
Electrolux,Model375,369.0,A,Double Door,Standard,Black,Glass,6.0,USA,1387.0
Samsung,Model378,576.0,A++,Single Door,Ice Dispenser,Silver,Stainless Steel,8.0,USA,1341.0
Electrolux,Model379,549.0,A++,Single Door,Standard,Silver,Glass,5.0,USA,1374.0
Electrolux,Model382,724.0,B,Single Door,Smart Connectivity,Silver,Glass,8.0,China,788.0
Haier,Model383,360.0,A++,Single Door,Standard,Silver,Plastic,5.0,Germany,856.0
Panasonic,Model384,580.0,B,Double Door,Smart Connectivity,White,Plastic,6.0,Germany,945.0
GE,Model386,196.0,A,Single Door,Smart Connectivity,Gray,Glass,1.0,China,456.0
Whirlpool,Model387,672.0,B,Side-by-Side,Standard,Gray,Glass,2.0,Germany,526.0
Siemens,Model388,516.0,B,Double Door,Water Dispenser,White,Glass,7.0,Germany,1455.0
Siemens,Model389,749.0,A++,Double Door,Smart Connectivity,Silver,Plastic,7.0,India,1905.0
Samsung,Model390,336.0,A,Side-by-Side,Ice Dispenser,Gray,Glass,1.0,USA,1241.0
LG,Model392,348.0,B,Double Door,Standard,Silver,Plastic,1.0,USA,1940.0
GE,Model393,654.0,A++,Side-by-Side,Ice Dispenser,White,Stainless Steel,2.0,China,1100.0
Haier,Model394,186.0,B,Single Door,Standard,Gray,Plastic,4.0,Germany,1994.0
LG,Model395,573.0,A++,Side-by-Side,Water Dispenser,Gray,Stainless Steel,7.0,Germany,1254.0
Frigidaire,Model397,149.0,B,Side-by-Side,Standard,Black,Plastic,2.0,China,947.0
Whirlpool,Model398,763.0,B,Double Door,Water Dispenser,White,Stainless Steel,6.0,USA,442.0
LG,Model399,557.0,A,Single Door,Ice Dispenser,Silver,Stainless Steel,6.0,China,1064.0
Electrolux,Model400,697.0,B,Double Door,Standard,White,Stainless Steel,1.0,Germany,802.0
Frigidaire,Model401,587.0,A++,Double Door,Water Dispenser,Gray,Plastic,7.0,USA,326.0
Frigidaire,Model402,717.0,A,Side-by-Side,Smart Connectivity,Black,Plastic,1.0,Germany,1863.0
Haier,Model404,444.0,A+,Single Door,Ice Dispenser,White,Plastic,8.0,Germany,388.0
Samsung,Model409,353.0,A,Single Door,Ice Dispenser,Gray,Plastic,9.0,China,375.0
Frigidaire,Model410,703.0,A++,Single Door,Standard,White,Stainless Steel,4.0,China,1666.0
LG,Model415,384.0,B,Side-by-Side,Standard,Silver,Stainless Steel,6.0,India,1170.0
Samsung,Model418,123.0,A,Single Door,Water Dispenser,White,Stainless Steel,7.0,China,1377.0
Panasonic,Model419,433.0,A++,Double Door,Standard,Gray,Plastic,8.0,USA,613.0
Frigidaire,Model421,686.0,B,Single Door,Standard,White,Plastic,8.0,Germany,1070.0
Panasonic,Model422,538.0,A,Side-by-Side,Ice Dispenser,White,Stainless Steel,9.0,USA,487.0
Frigidaire,Model424,543.0,A,Single Door,Ice Dispenser,Gray,Stainless Steel,1.0,Germany,1350.0
Samsung,Model425,303.0,A+,Single Door,Water Dispenser,White,Glass,6.0,India,927.0
Siemens,Model426,324.0,A+,Side-by-Side,Water Dispenser,Silver,Plastic,1.0,India,436.0
Haier,Model427,250.0,A++,Single Door,Standard,Silver,Plastic,7.0,Germany,564.0
Haier,Model428,758.0,A,Double Door,Standard,Gray,Plastic,4.0,USA,1513.0
Panasonic,Model429,420.0,A,Side-by-Side,Standard,White,Glass,9.0,China,670.0
GE,Model431,798.0,A+,Side-by-Side,Ice Dispenser,Gray,Stainless Steel,4.0,Germany,1254.0
Samsung,Model432,446.0,A,Single Door,Smart Connectivity,Silver,Glass,1.0,USA,1409.0
Panasonic,Model433,554.0,A+,Double Door,Smart Connectivity,Gray,Plastic,2.0,China,1045.0
LG,Model437,789.0,A,Double Door,Ice Dispenser,Gray,Stainless Steel,9.0,India,1025.0
Br@ndX,Model438,574.0,A++,Single Door,Ice Dispenser,Gray,Stainless Steel,3.0,India,842.0
Haier,Model439,444.0,A+,Double Door,Water Dispenser,Black,Glass,2.0,China,1008.0
Whirlpool,Model441,750.0,A,Side-by-Side,Smart Connectivity,Silver,Plastic,9.0,India,1454.0
Bosch,Model442,125.0,A++,Double Door,Ice Dispenser,Silver,Stainless Steel,8.0,China,1865.0
LG,Model443,233.0,A+,Side-by-Side,Smart Connectivity,Gray,Glass,6.0,India,1292.0
Bosch,Model444,499.0,A,Side-by-Side,Water Dispenser,Black,Stainless Steel,2.0,China,672.0
Frigidaire,Model445,362.0,A+,Single Door,Water Dispenser,Black,Plastic,7.0,China,785.0
Bosch,Model446,151.0,A++,Double Door,Water Dispenser,Gray,Stainless Steel,4.0,China,342.0
LG,Model448,269.0,B,Single Door,Standard,Silver,Glass,1.0,Germany,333.0
Samsung,Model450,788.0,A+,Side-by-Side,Standard,Silver,Stainless Steel,8.0,India,1006.0
Electrolux,Model451,118.0,A++,Single Door,Standard,Silver,Plastic,9.0,USA,569.0
